,Entity,Year,Percentage of Individuals using the Internet (ICT),Mobile cellular subscriptions
0,Afghanistan,1990,,0.0
1,Afghanistan,1991,,0.0
2,Afghanistan,1992,,0.0
3,Afghanistan,1993,,0.0
4,Afghanistan,1994,,0.0
5,Afghanistan,1995,,0.0
6,Afghanistan,1996,,0.0
7,Afghanistan,1997,,0.0
8,Afghanistan,1998,,0.0
9,Afghanistan,1999,,0.0
10,Afghanistan,2000,,0.0
11,Afghanistan,2001,,0.0
12,Afghanistan,2002,,0.112598381
13,Afghanistan,2003,0.09,0.865196277
14,Afghanistan,2004,0.11,2.498055472
15,Afghanistan,2005,1.22,4.826865367
16,Afghanistan,2006,2.11,9.833164022
17,Afghanistan,2007,1.9,17.71624331
18,Afghanistan,2008,1.84,29.22037376
19,Afghanistan,2009,3.55,37.89493697
20,Afghanistan,2010,4.0,45.77817474
21,Afghanistan,2011,5.0,60.32631999
22,Afghanistan,2012,5.45,65.45219346
23,Afghanistan,2013,5.9,70.66135885
24,Albania,1990,,0.0
25,Albania,1991,,0.0
26,Albania,1992,,0.0
27,Albania,1993,,0.0
28,Albania,1994,,0.0
29,Albania,1995,,0.0
30,Albania,1996,,0.06884077799999999
31,Albania,1997,,0.099059921
32,Albania,1998,,0.16839795800000001
33,Albania,1999,,0.331772024
34,Albania,2000,0.11,0.901406013
35,Albania,2001,0.33,11.94887288
36,Albania,2002,0.39,26.07553141
37,Albania,2003,0.97,33.95706284
38,Albania,2004,2.42,39.16395669
39,Albania,2005,6.04,47.87802749
40,Albania,2006,9.61,60.06734238
41,Albania,2007,15.04,73.35038415
42,Albania,2008,23.86,58.91235149
43,Albania,2009,41.2,78.1845877
44,Albania,2010,45.0,85.46824699999999
45,Albania,2011,49.0,98.29153459
46,Albania,2012,54.66,110.68653159999998
47,Albania,2013,57.2,116.1572081
48,Algeria,1990,,0.0017911779999999998
49,Algeria,1991,,0.017777422
50,Algeria,1992,,0.017363261
51,Algeria,1993,,0.016979453999999998
52,Algeria,1994,,0.004688247
53,Algeria,1995,,0.016001794
54,Algeria,1996,,0.039202272999999996
55,Algeria,1997,,0.057339703
56,Algeria,1998,,0.05840281
57,Algeria,1999,,0.230206295
58,Algeria,2000,0.49,0.27112703
59,Algeria,2001,0.65,0.311040075
60,Algeria,2002,1.59,1.3822623580000002
61,Algeria,2003,2.2,4.384169991
62,Algeria,2004,4.63,14.59120666
63,Algeria,2005,5.84,40.22671305
64,Algeria,2006,7.38,60.85091077
65,Algeria,2007,9.45,78.53288666
66,Algeria,2008,10.18,75.6646235
67,Algeria,2009,11.23,89.95836607
68,Algeria,2010,12.5,88.44487548
69,Algeria,2011,14.0,94.31443964
70,Algeria,2012,15.23,97.52089467
71,Algeria,2013,16.5,100.78772049999999
72,American Samoa,1990,,0.0
73,American Samoa,1991,,0.0
74,American Samoa,1992,,1.4113756880000001
75,American Samoa,1993,,1.774273041
76,American Samoa,1994,,2.316289305
77,American Samoa,1995,,2.364110905
78,American Samoa,1996,,2.410710974
79,American Samoa,1997,,2.548141677
80,American Samoa,1998,,2.6834111519999997
81,American Samoa,1999,,3.1708004510000003
82,American Samoa,2000,,3.463022843
83,American Samoa,2001,,3.7059955999999996
84,American Samoa,2002,,3.4667711010000004
85,American Samoa,2003,,3.5522776869999997
86,American Samoa,2004,,3.7966994030000003
87,Andorra,1990,,0.0
88,Andorra,1991,,0.0
89,Andorra,1992,,1.307211734
90,Andorra,1993,,1.2786256409999999
91,Andorra,1994,,1.250259142
92,Andorra,1995,,4.424155104
93,Andorra,1996,,8.538444783
94,Andorra,1997,,13.44671556
95,Andorra,1998,,22.12730607
96,Andorra,1999,,32.14530928
97,Andorra,2000,10.54,35.99902139
98,Andorra,2001,,43.27794118
99,Andorra,2002,11.26,45.77115817
100,Andorra,2003,13.55,68.60251444
101,Andorra,2004,26.84,73.82494308
102,Andorra,2005,37.61,79.48487497
103,Andorra,2006,48.94,84.27763597
104,Andorra,2007,70.87,78.11715790000001
105,Andorra,2008,70.04,80.2836099
106,Andorra,2009,78.53,82.06181111
107,Andorra,2010,81.0,84.06818386
108,Andorra,2011,81.0,83.53432222
109,Andorra,2012,86.43,81.50204186
110,Andorra,2013,94.0,80.70261809
111,Angola,1990,,0.0
112,Angola,1991,,0.0
113,Angola,1992,,0.0
114,Angola,1993,,0.009672748
115,Angola,1994,,0.015532086
116,Angola,1995,,0.016472597
117,Angola,1996,,0.026485822000000003
118,Angola,1997,,0.055130843
119,Angola,1998,,0.07474762
120,Angola,1999,,0.177638088
121,Angola,2000,0.11,0.18532229600000003
122,Angola,2001,0.14,0.521366177
123,Angola,2002,0.27,0.940444726
124,Angola,2003,0.37,2.269621281
125,Angola,2004,0.46,4.63174063
126,Angola,2005,1.14,9.738161173
127,Angola,2006,1.91,17.83989624
128,Angola,2007,3.2,28.01098233
129,Angola,2008,4.6,36.98368954
130,Angola,2009,6.0,42.84657348
131,Angola,2010,10.0,48.10120904
132,Angola,2011,14.78,59.82618856
133,Angola,2012,16.94,61.40627578
134,Angola,2013,19.1,61.87329711
135,Antigua and Barbuda,1990,,0.0
136,Antigua and Barbuda,1996,,1.8506655280000002
137,Antigua and Barbuda,1997,,1.938199136
138,Antigua and Barbuda,1998,,2.021399887
139,Antigua and Barbuda,1999,,11.17818019
140,Antigua and Barbuda,2000,6.48,28.332989899999998
141,Antigua and Barbuda,2001,8.9,31.65678975
142,Antigua and Barbuda,2002,12.5,47.73834812
143,Antigua and Barbuda,2003,17.23,56.98111342
144,Antigua and Barbuda,2004,24.27,66.08091241
145,Antigua and Barbuda,2005,27.0,104.1603585
146,Antigua and Barbuda,2006,30.0,132.00067090000002
147,Antigua and Barbuda,2007,34.0,133.1575767
148,Antigua and Barbuda,2008,38.0,160.0393678
149,Antigua and Barbuda,2009,42.0,156.3441483
150,Antigua and Barbuda,2010,47.0,192.55327690000001
151,Antigua and Barbuda,2011,52.0,199.66421640000002
152,Antigua and Barbuda,2012,58.0,143.01384319999997
