Entity,Code,Year,Mobile cellular subscriptions
Afghanistan,AFG,1980,0
Afghanistan,AFG,1981,0
Afghanistan,AFG,1982,0
Afghanistan,AFG,1983,0
Afghanistan,AFG,1984,0
Afghanistan,AFG,1985,0
Afghanistan,AFG,1986,0
Afghanistan,AFG,1987,0
Afghanistan,AFG,1988,0
Afghanistan,AFG,1989,0
Afghanistan,AFG,1990,0
Afghanistan,AFG,1991,0
Afghanistan,AFG,1992,0
Afghanistan,AFG,1993,0
Afghanistan,AFG,1994,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,1996,0
Afghanistan,AFG,1997,0
Afghanistan,AFG,1998,0
Afghanistan,AFG,1999,0
Afghanistan,AFG,2000,0
Afghanistan,AFG,2001,0
Afghanistan,AFG,2002,0.112598381
Afghanistan,AFG,2003,0.865196277
Afghanistan,AFG,2004,2.498055472
Afghanistan,AFG,2005,4.826865367
Afghanistan,AFG,2006,9.833164022
Afghanistan,AFG,2007,17.71624331
Afghanistan,AFG,2008,29.22037376
Afghanistan,AFG,2009,37.89493697
Afghanistan,AFG,2010,45.77817474
Afghanistan,AFG,2011,60.32631999
Afghanistan,AFG,2012,65.45219346
Afghanistan,AFG,2013,70.66135885
Albania,ALB,1980,0
Albania,ALB,1981,0
Albania,ALB,1982,0
Albania,ALB,1983,0
Albania,ALB,1984,0
Albania,ALB,1985,0
Albania,ALB,1986,0
Albania,ALB,1987,0
Albania,ALB,1988,0
Albania,ALB,1989,0
Albania,ALB,1990,0
Albania,ALB,1991,0
Albania,ALB,1992,0
Albania,ALB,1993,0
Albania,ALB,1994,0
Albania,ALB,1995,0
Albania,ALB,1996,0.068840778
Albania,ALB,1997,0.099059921
Albania,ALB,1998,0.168397958
Albania,ALB,1999,0.331772024
Albania,ALB,2000,0.901406013
Albania,ALB,2001,11.94887288
Albania,ALB,2002,26.07553141
Albania,ALB,2003,33.95706284
Albania,ALB,2004,39.16395669
Albania,ALB,2005,47.87802749
Albania,ALB,2006,60.06734238
Albania,ALB,2007,73.35038415
Albania,ALB,2008,58.91235149
Albania,ALB,2009,78.1845877
Albania,ALB,2010,85.468247
Albania,ALB,2011,98.29153459
Albania,ALB,2012,110.6865316
Albania,ALB,2013,116.1572081
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0.001791178
Algeria,DZA,1991,0.017777422
Algeria,DZA,1992,0.017363261
Algeria,DZA,1993,0.016979454
Algeria,DZA,1994,0.004688247
Algeria,DZA,1995,0.016001794
Algeria,DZA,1996,0.039202273
Algeria,DZA,1997,0.057339703
Algeria,DZA,1998,0.05840281
Algeria,DZA,1999,0.230206295
Algeria,DZA,2000,0.27112703
Algeria,DZA,2001,0.311040075
Algeria,DZA,2002,1.382262358
Algeria,DZA,2003,4.384169991
Algeria,DZA,2004,14.59120666
Algeria,DZA,2005,40.22671305
Algeria,DZA,2006,60.85091077
Algeria,DZA,2007,78.53288666
Algeria,DZA,2008,75.6646235
Algeria,DZA,2009,89.95836607
Algeria,DZA,2010,88.44487548
Algeria,DZA,2011,94.31443964
Algeria,DZA,2012,97.52089467
Algeria,DZA,2013,100.7877205
American Samoa,ASM,1980,0
American Samoa,ASM,1981,0
American Samoa,ASM,1982,0
American Samoa,ASM,1983,0
American Samoa,ASM,1984,0
American Samoa,ASM,1985,0
American Samoa,ASM,1986,0
American Samoa,ASM,1990,0
American Samoa,ASM,1991,0
American Samoa,ASM,1992,1.411375688
American Samoa,ASM,1993,1.774273041
American Samoa,ASM,1994,2.316289305
American Samoa,ASM,1995,2.364110905
American Samoa,ASM,1996,2.410710974
American Samoa,ASM,1997,2.548141677
American Samoa,ASM,1998,2.683411152
American Samoa,ASM,1999,3.170800451
American Samoa,ASM,2000,3.463022843
American Samoa,ASM,2001,3.7059956
American Samoa,ASM,2002,3.466771101
American Samoa,ASM,2003,3.552277687
American Samoa,ASM,2004,3.796699403
Andorra,AND,1980,0
Andorra,AND,1981,0
Andorra,AND,1982,0
Andorra,AND,1983,0
Andorra,AND,1984,0
Andorra,AND,1985,0
Andorra,AND,1986,0
Andorra,AND,1987,0
Andorra,AND,1988,0
Andorra,AND,1989,0
Andorra,AND,1990,0
Andorra,AND,1991,0
Andorra,AND,1992,1.307211734
Andorra,AND,1993,1.278625641
Andorra,AND,1994,1.250259142
Andorra,AND,1995,4.424155104
Andorra,AND,1996,8.538444783
Andorra,AND,1997,13.44671556
Andorra,AND,1998,22.12730607
Andorra,AND,1999,32.14530928
Andorra,AND,2000,35.99902139
Andorra,AND,2001,43.27794118
Andorra,AND,2002,45.77115817
Andorra,AND,2003,68.60251444
Andorra,AND,2004,73.82494308
Andorra,AND,2005,79.48487497
Andorra,AND,2006,84.27763597
Andorra,AND,2007,78.1171579
Andorra,AND,2008,80.2836099
Andorra,AND,2009,82.06181111
Andorra,AND,2010,84.06818386
Andorra,AND,2011,83.53432222
Andorra,AND,2012,81.50204186
Andorra,AND,2013,80.70261809
Angola,AGO,1980,0
Angola,AGO,1981,0
Angola,AGO,1982,0
Angola,AGO,1983,0
Angola,AGO,1984,0
Angola,AGO,1985,0
Angola,AGO,1986,0
Angola,AGO,1987,0
Angola,AGO,1988,0
Angola,AGO,1989,0
Angola,AGO,1990,0
Angola,AGO,1991,0
Angola,AGO,1992,0
Angola,AGO,1993,0.009672748
Angola,AGO,1994,0.015532086
Angola,AGO,1995,0.016472597
Angola,AGO,1996,0.026485822
Angola,AGO,1997,0.055130843
Angola,AGO,1998,0.07474762
Angola,AGO,1999,0.177638088
Angola,AGO,2000,0.185322296
Angola,AGO,2001,0.521366177
Angola,AGO,2002,0.940444726
Angola,AGO,2003,2.269621281
Angola,AGO,2004,4.63174063
Angola,AGO,2005,9.738161173
Angola,AGO,2006,17.83989624
Angola,AGO,2007,28.01098233
Angola,AGO,2008,36.98368954
Angola,AGO,2009,42.84657348
Angola,AGO,2010,48.10120904
Angola,AGO,2011,59.82618856
Angola,AGO,2012,61.40627578
Angola,AGO,2013,61.87329711
Antigua and Barbuda,ATG,1980,0
Antigua and Barbuda,ATG,1981,0
Antigua and Barbuda,ATG,1982,0
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1984,0
Antigua and Barbuda,ATG,1985,0
Antigua and Barbuda,ATG,1986,0
Antigua and Barbuda,ATG,1987,0
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1996,1.850665528
Antigua and Barbuda,ATG,1997,1.938199136
Antigua and Barbuda,ATG,1998,2.021399887
Antigua and Barbuda,ATG,1999,11.17818019
Antigua and Barbuda,ATG,2000,28.3329899
Antigua and Barbuda,ATG,2001,31.65678975
Antigua and Barbuda,ATG,2002,47.73834812
Antigua and Barbuda,ATG,2003,56.98111342
Antigua and Barbuda,ATG,2004,66.08091241
Antigua and Barbuda,ATG,2005,104.1603585
Antigua and Barbuda,ATG,2006,132.0006709
Antigua and Barbuda,ATG,2007,133.1575767
Antigua and Barbuda,ATG,2008,160.0393678
Antigua and Barbuda,ATG,2009,156.3441483
Antigua and Barbuda,ATG,2010,192.5532769
Antigua and Barbuda,ATG,2011,199.6642164
Antigua and Barbuda,ATG,2012,143.0138432
Antigua and Barbuda,ATG,2013,127.0856254
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0.007149428
Argentina,ARG,1990,0.036781751
Argentina,ARG,1991,0.075585347
Argentina,ARG,1992,0.138988317
Argentina,ARG,1993,0.329780857
Argentina,ARG,1994,0.701068622
Argentina,ARG,1995,1.163818921
Argentina,ARG,1996,1.891500329
Argentina,ARG,1997,5.62910957
Argentina,ARG,1998,7.396595596
Argentina,ARG,1999,10.54064245
Argentina,ARG,2000,17.58105905
Argentina,ARG,2001,18.08742442
Argentina,ARG,2002,17.4519491
Argentina,ARG,2003,20.6535373
Argentina,ARG,2004,35.27228837
Argentina,ARG,2005,57.32899426
Argentina,ARG,2006,80.81882641
Argentina,ARG,2007,102.7215283
Argentina,ARG,2008,117.2211834
Argentina,ARG,2009,131.1294492
Argentina,ARG,2010,141.383022
Argentina,ARG,2011,149.0906224
Argentina,ARG,2012,156.564756
Argentina,ARG,2013,162.5274217
Armenia,ARM,1980,0
Armenia,ARM,1981,0
Armenia,ARM,1982,0
Armenia,ARM,1983,0
Armenia,ARM,1984,0
Armenia,ARM,1985,0
Armenia,ARM,1986,0
Armenia,ARM,1987,0
Armenia,ARM,1988,0
Armenia,ARM,1989,0
Armenia,ARM,1990,0
Armenia,ARM,1991,0
Armenia,ARM,1992,0
Armenia,ARM,1993,0
Armenia,ARM,1994,0
Armenia,ARM,1995,0
Armenia,ARM,1996,0.009453508
Armenia,ARM,1997,0.15935483
Armenia,ARM,1998,0.251561377
Armenia,ARM,1999,0.263783931
Armenia,ARM,2000,0.568447429
Armenia,ARM,2001,0.833474947
Armenia,ARM,2002,2.341613166
Armenia,ARM,2003,3.767384533
Armenia,ARM,2004,6.719510373
Armenia,ARM,2005,10.54901346
Armenia,ARM,2006,41.95135986
Armenia,ARM,2007,62.7586975
Armenia,ARM,2008,48.43008603
Armenia,ARM,2009,73.83377008
Armenia,ARM,2010,130.4322327
Armenia,ARM,2011,108.336201
Armenia,ARM,2012,111.9146632
Armenia,ARM,2013,112.4206552
Aruba,ABW,1980,0
Aruba,ABW,1981,0
Aruba,ABW,1982,0
Aruba,ABW,1983,0
Aruba,ABW,1984,0
Aruba,ABW,1985,0
Aruba,ABW,1986,0
Aruba,ABW,1987,0
